,date,developerResponse,review,rating,isEdited,userName,title
0,2019-03-22 11:51:52,"{'id': 7865357, 'body': 'Trần Thị Bích Phượng | Bộ phận chăm sóc khách hàng | Shopee Việt Nam', 'modified': '2019-03-23T02:41:52Z'}","Vào app xem đc tầm 5p là bị văng ra,từ đầu còn tưởng do máy nhưng đổi đến 3 cái mày vẫn bị vậy rất bực mình.mong sẽ khắc phục sớm cho ng sử dụng bớt ức chế",3,False,hangghiio,Lỗi
1,2020-03-06 10:13:04,"{'id': 13915074, 'body': 'Chào bạn, cảm ơn bạn đã phản hồi. Phí vận chuyển được tính theo khối lượng, kích thước khi đóng gói và khoảng cách giữa người bán và người mua, Shopee sẽ cố gắng tìm ra giải pháp hỗ trợ người dùng tốt hơn, thể lệ chương trình miễn phí vận chuyển, bạn tham khảo tại: https://shopee.vn/events3/code/1441554913', 'modified': '2020-03-08T03:17:09Z'}",Miễn phí vận chuyển nhưng khi đặt hàng mua vẫn phải trả tiền vận chuyển nữa,1,False,vẫn mất tiền,Ứng dụng ghi Miễn phí vận chuyển nhưng khi đặt hàng mua vẫn phải trả tiền vận chuyển nữa
2,2020-11-13 15:28:52,"{'id': 19110563, 'body': 'Chào bạn ennejkdj, cảm ơn phản hồi của bạn ạ. Shopee rất tiếc về trải nghiệm chưa hài lòng của bạn khi sử dụng Shopee. Bạn vui lòng liên hệ trực tiếp qua https://shopee.vn/tro-giup cung cấp thông tin cụ thể để Shopee kiểm tra cho bạn nhé.', 'modified': '2020-11-15T04:49:41Z'}","Tôi mua nhiều lần trên shopee, sau đó tôi phát hiện phí ship của mình tăng cao hơn trước dù mua giá ko hề thấp so với trước đây. Tôi dùng điện thoại người thân chọn mua hàng CÙNG LOẠI như trong dt của mình, phát hiện ra phí ship của người thân thấp hơn nhiều. Dùng tiếp 1 tài khoản mới tạo bằng sdt khác, lại phát hiện y như vậy. Đã vậy mua quá nhiều lần tôi bị shopee ép thanh toán qua ví điện tử(phải mở tài khoản thanh toán). Dùng dt người thân đặt mua y vậy thì cho thanh toán tiền mặt.
 Shopee đối xử với người dùng lâu năm và mua hàng nhiều là TĂNG PHÍ SHIP HÀNG (DÙ SHOP CÓ GHI RÕ MUA 99K TRỞ LÊN ĐƯỢC FREE SHIP) và ÉP NGƯỜI DÙNG THANH TOÁN CHUYỂN KHOẢN BẰNG VÍ ĐIỆN TỬ HOẶC THẺ NGÂN HÀNG (dù tôi chưa từng đặt rồi ko nhận hàng bao giờ). 
Đây là cách đối xử của shopee với KH cũ lâu năm 
Gửi tin hỏi bên shopee trả lời là bình thường ko có vấn đề gì cả. Nêu hàng loạt lý do ko hợp lý và cũng ko hề xem xét lại vấn đề để giải quyết cho KH
Mọi người thử để ý lay 2,3 điện thoại của các tai khoản khác nhau cùng đặt 1 sp ship về 1 địa chỉ sẽ thấy rõ ship người ít mua hàng được giảm giá thấp hơn nhiều so với người hay mua. 
Do các trang mua hàng những nơi khác ko nhiều shop đăng ký bán bằng shopee nên mình ko có dx sự lựa chọn tốt. Sau này khi nhiều trang mua sắm lớn hơn ra đời xem shopee tồn tại như thế nào",1,False,ennejkdj,Shopee gian lận đối với người mua hàng lâu năm
3,2020-04-27 17:05:18,"{'id': 14953043, 'body': 'Chào bạn, cảm ơn bạn đã phản hồi. Shopee xin ghi nhận ý kiến của bạn để tiếp tục phát triển ứng dụng và dịch vụ tốt hơn trong tương lai. Nếu cần hỗ trợ thêm, bạn liên hệ trực tiếp qua https://help.shopee.vn/vn/s/contactus giúp Shopee nhé', 'modified': '2020-04-28T02:42:43Z'}",mua hàng giao không đúng hàng. gọi lên chăm sóc khách hàng shopee thì bảo đợi giải quyết. 1 tuần sau gửi cho cái mail đổ lỗi cho khách hàng rồi nói không liên quan tới shopee nên không giải quyết nữa. rất không hài lòng,1,False,sjakwodn,.
4,2020-04-08 09:52:28,"{'id': 15714906, 'body': 'Nhận ngay khoản vay 10 triệu chỉ với 5 phút đăng ký hồ sơ\n\nKính gửi Quý khách\nĐăng ký ngay nhận khoản vay khủng lên đến 10.000.000 vnđ , cùng lãi suất cô cùng hấp dẫn!\nHãy nhanh tay nhận ngay ưu đãi nào!\nƯu đãi chỉ dành cho 99 khách hàng đăng ký nhanh nhất! Nhận Ưu Đãi (https://tracker.convead.io/messages/click?app_key=536604a10231a19e58cfc94824ab4c1b&redirect_uri=https%3A%2F%2Foneclickmoney.vn%2F%3Fconvead_mid%3DBAhJIhUyNTA4MjhfMzUzOTQzNDM3BjoGRUY=--a0462229b0ce75533d341375387a02505809e9c9%26convead_muid%3Dc2344c8333f6bc60a0%26utm_campaign%3Dnewclient_2_6%26utm_medium%3Dcpsend%26utm_source%3Demail&tracking_token=BAhJIhUyNTA4MjhfMzUzOTQzNDM3BjoGRUY=--a0462229b0ce75533d341375387a02505809e9c9)\n\nTrân trọng,\nĐối tác tài chính Oneclickmoney của quý khách\nHotline: 1900-636-727 (tel:1900636727)\nUnsubscribe here\n\nСделано в Convead (https://convead.ru?utm_source=oneclickmoney.vn&utm_medium=email)', 'modified': '2020-06-02T04:22:18Z'}",Hàng có 60k mà phí ship tận 130k :),1,False,dat lanh chanh,Quá đắt
5,2019-10-25 04:45:11,"{'id': 11478208, 'body': 'Chào bạn, cám ơn phản hồi của bạn. Shopee rất tiếc với những trải nghiệm chưa được hài lòng của bạn vừa qua. Nếu cần hỗ trợ thêm, bạn liên hệ trực tiếp qua https://help.shopee.vn/vn/s/contactus giúp Shopee nhé', 'modified': '2019-10-26T03:18:01Z'}","Một trăm lần thuận mua bán không bằng một lần rề rà giải quyết than phiền, vì khách hàng cần liên hệ trực tiếp nhưng chỉ toàn làm việc với tổng đài máy móc, tới khi liên hệ rồi bên đó nói đã hiểu và sẽ giải quyết nhưng không!?? Không hề giải quyết mà gửi mail giới hạn thời gian trả lời, nếu nta không có time check mail thì không giải quyết mất tiền khách cho vui ?",1,False,claireee cute,Giải quyết than phiền hoàn trả tiền quá rườm rà
6,2020-07-11 13:40:08,"{'id': 16560517, 'body': 'Chào bạn, Shopee rất tiếc về bất tiện này, bạn vui lòng liên hệ trực tiếp qua link https://help.shopee.vn/vn/s/contactus để Shopee hỗ trợ nhé.', 'modified': '2020-07-12T04:27:46Z'}","Shopee khoá tk khách lamuyenthi123456 đưa ra bằng chứng vu cáo mặc dù khách hàng có khiếu nại vẫn cứ không giải quyết. Khách hàng dùng một đien thoai một wifi chỉ mua một đơn hàng mà khoá shopee vĩnh viẽn trong khi khách còn đơn hàng và voucher trong shopee. Bang chứng đưa ra vu khống vì khách chỉ biet shopee của kháh và xài duy nhất thì shopee vu khống nói khách liên ket nhiều shopee. 
Sau khi khoá shopee khách thì voucher aha khách mua ngày 30/6 cũng lỗi không xaid được và cũng không hỗ trợ khách đổi maz giảm giá khác
Hành động của một thương hiệu lớn mà tệ hại và lừa đảo. Nhân viên thì khoá shopee hàng loạt. Thời dịch bệnh khách hàng mua ủng hộ shopee một đơn hàng mà bị khoá vô lý. Không biết sếp Pine có trainning nhân viên mình như vậy không hay là cũng khôgn biet nhân viên mình tệ hại ảnh hưởng thuong hiệu như vậy",1,False,Bossthiuyen,Khoá shopee lamuyenthi123456 và khách hàng mua voucher aha move xong lỗi không dùng được
7,2020-04-05 02:48:03,"{'id': 14463080, 'body': 'Chào bạn, cảm ơn bạn đã phản hồi. Shopee xin ghi nhận ý kiến của bạn để tiếp tục phát triển ứng dụng và dịch vụ tốt hơn trong tương lai. Nếu cần hỗ trợ thêm, bạn liên hệ trực tiếp qua https://help.shopee.vn/vn/s/contactus giúp Shopee nhé', 'modified': '2020-04-05T07:17:43Z'}","nên cải thiện hiệu năng ứng dụng hơn là chăm chú vào sale, càng ngày càng chậm",1,False,黄阿山,Dở
8,2021-08-15 08:14:47,"{'id': 24547908, 'body': 'Chào bạn ,cảm ơn phản hồi của bạn ạ. Shopee xin chia sẻ sự bất tiện cùng bạn khi có trải nghiệm chưa tốt tại Shopee. Bạn vui lòng liên hệ trực tiếp qua https://shopee.vn/tro-giup và cung cấp thông tin cụ thể để Shopee kiểm tra cho bạn nhé', 'modified': '2021-08-17T07:14:40Z'}",Ai biểu thuê tiên lũ làm pr,1,False,Vlight1511,Anti lũ hậu
9,2020-12-05 06:55:03,"{'id': 19567024, 'body': 'Chào bạn ht05041, cảm ơn phản hồi của bạn ạ. Shopee rất tiếc vì những trải nghiệm chưa được hài lòng khi bạn liên hệ đến Shopee. Bạn vui lòng liên hệ trực tiếp qua https://shopee.vn/tro-giup và cung cấp thông tin cụ thể để Shopee kiểm tra cho bạn nhé.', 'modified': '2020-12-06T14:25:26Z'}","Vào lúc 1h40 chiều nay , mình có chat với nhân viên hỗ trợ người bán về vấn đề đánh giá, không những bạn Ngọc Ly giải đáp vấn đề một cách qua loa mà tự ý kết thúc phiên trò chuyện của mình trong khi mình đang hỏi.",1,False,ht05041,Nhân viên chăm sóc khách hàng quá tệ
